兒,kSimplifiedVariant,儿
兗,kSimplifiedVariant,兖
內,kSimplifiedVariant,内
兩,kSimplifiedVariant,两
冊,kSimplifiedVariant,册
冪,kSimplifiedVariant,幂
凈,kSimplifiedVariant,净
凍,kSimplifiedVariant,冻
凙,kSimplifiedVariant,𪞝
凜,kSimplifiedVariant,凛
凱,kSimplifiedVariant,凯
別,kSimplifiedVariant,别
刪,kSimplifiedVariant,删
剄,kSimplifiedVariant,刭
則,kSimplifiedVariant,则
剋,kSimplifiedVariant,克
剎,kSimplifiedVariant,刹
剗,kSimplifiedVariant,刬
剛,kSimplifiedVariant,刚
剝,kSimplifiedVariant,剥
剮,kSimplifiedVariant,剐
剴,kSimplifiedVariant,剀
創,kSimplifiedVariant,创
剾,kSimplifiedVariant,𠛅
劃,kSimplifiedVariant,划
劇,kSimplifiedVariant,剧
劉,kSimplifiedVariant,刘
劊,kSimplifiedVariant,刽
劌,kSimplifiedVariant,刿
劍,kSimplifiedVariant,剑
劏,kSimplifiedVariant,㓥
劑,kSimplifiedVariant,剂
劚,kSimplifiedVariant,㔬
勁,kSimplifiedVariant,劲
動,kSimplifiedVariant,动
務,kSimplifiedVariant,务
勛,kSimplifiedVariant,勋
勝,kSimplifiedVariant,胜
勞,kSimplifiedVariant,劳
勢,kSimplifiedVariant,势
勩,kSimplifiedVariant,勚
勱,kSimplifiedVariant,劢
勵,kSimplifiedVariant,励
勸,kSimplifiedVariant,劝
勻,kSimplifiedVariant,匀
匭,kSimplifiedVariant,匦
匯,kSimplifiedVariant,汇
匱,kSimplifiedVariant,匮
區,kSimplifiedVariant,区
協,kSimplifiedVariant,协
卻,kSimplifiedVariant,却
厙,kSimplifiedVariant,厍
厭,kSimplifiedVariant,厌
厲,kSimplifiedVariant,厉
厴,kSimplifiedVariant,厣
參,kSimplifiedVariant,参
叄,kSimplifiedVariant,叁
叢,kSimplifiedVariant,丛
台,kSimplifiedVariant,台
后,kSimplifiedVariant,后
吒,kSimplifiedVariant,咤
吳,kSimplifiedVariant,吴
吶,kSimplifiedVariant,呐
呂,kSimplifiedVariant,吕
