Traditional,Simplified,Pinyin,Frequency,Notes
証,证,zheng,1,5
癥,症,zheng,1,1
鋥,锃,zheng,0,3
幀,帧,zheng,0,3
崢,峥,zheng,0,7
錚,铮,zheng,0,3
諍,诤,zheng,0,3
鉦,钲,zheng,0,3
幟,帜,zhi,2,3
紙,纸,zhi,2,3
隻,只,zhi,2,1
執,执,zhi,2,2
摯,挚,zhi,2,3
織,织,zhi,2,3
緻,致,zhi,2,1
滯,滞,zhi,2,3
擲,掷,zhi,2,3
誌,志,zhi,2,4
姪,侄,zhi,2,4
製,制,zhi,2,1
職,职,zhi,2,3
質,质,zhi,2,2
躓,踬,zhi,0,3
梔,栀,zhi,0,4
鷙,鸷,zhi,0,3
騭,骘,zhi,0,3
躑,踯,zhi,0,3
輊,轾,zhi,0,3
贄,贽,zhi,0,3
銍,铚,zhi,0,5
縶,絷,zhi,0,3
軹,轵,zhi,0,5
觶,觯,zhi,0,5
鑕,锧,zhi,0,3
種,种,zhong,2,1
鐘,钟,zhong,2,1
終,终,zhong,2,3
鍾,钟,zhong,2,1
眾,众,zhong,2,1
腫,肿,zhong,2,1
塚,冢,zhong,0,4
皺,皱,zhou,2,3
軸,轴,zhou,2,3
週,周,zhou,2,4
晝,昼,zhou,2,1
鵃,鸼,zhou,0,3
紂,纣,zhou,0,3
輈,辀,zhou,0,5
冑,胄,zhou,0,7
縐,绉,zhou,0,3
豬,猪,zhu,2,4
諸,诸,zhu,2,3
著,著,zhu,2,9
著,着,zhu,2,8
貯,贮,zhu,2,3
燭,烛,zhu,2,1
駐,驻,zhu,2,3
築,筑,zhu,2,1
囑,嘱,zhu,2,3
矚,瞩,zhu,2,3
鑄,铸,zhu,2,3
註,注,zhu,2,4
硃,朱,zhu,1,1
櫧,槠,zhu,0,3
瀦,潴,zhu,0,7
紵,纻,zhu,0,5
櫫,橥,zhu,0,7
苧,苎,zhu,0,5
佇,伫,zhu,0,4
誅,诛,zhu,0,3
銖,铢,zhu,0,3
撾,挝,zhua,0,3
賺,赚,zhuan,2,3
專,专,zhuan,2,2
轉,转,zhuan,2,3
磚,砖,zhuan,2,3
顓,颛,zhuan,0,3
囀,啭,zhuan,0,3
饌,馔,zhuan,0,3
樁,桩,zhuang,2,1
莊,庄,zhuang,2,1
壯,壮,zhuang,2,1
狀,状,zhuang,2,1
裝,装,zhuang,2,1
粧,妆,zhuang,1,4
妝,妆,zhuang,1,1
綴,缀,zhui,2,3
錐,锥,zhui,2,3
墜,坠,zhui,2,3
贅,赘,zhui,1,3
騅,骓,zhui,0,3
縋,缒,zhui,0,3
準,准,zhun,2,1
諄,谆,zhun,1,3
濁,浊,zhuo,2,1
鐲,镯,zhuo,0,3
諑,诼,zhuo,0,3
梲,棁,zhuo,0,7
漬,渍,zi,2,3
諮,咨,zi,2,8
資,资,zi,2,3
齜,龇,zi,0,3
玆,兹,zi,0,7
緇,缁,zi,0,3
輜,辎,zi,0,3
茲,兹,zi,0,7
鯔,鲻,zi,0,3
貲,赀,zi,0,4
鎡,镃,zi,0,3
錙,锱,zi,0,3
眥,眦,zi,0,4
鶿,鹚,zi,0,4
總,总,zong,2,1
綜,综,zong,2,3
蹤,踪,zong,2,4
縱,纵,zong,2,3
瘲,疭,zong,0,5
傯,偬,zong,0,4
驟,骤,zou,2,3
騶,驺,zou,0,3
鄒,邹,zou,0,3
諏,诹,zou,0,3
謅,诌,zou,0,3
鯫,鲰,zou,0,3
組,组,zu,2,3
詛,诅,zu,1,3
鏃,镞,zu,0,3
鑽,钻,zuan,2,1
躦,躜,zuan,0,3
纘,缵,zuan,0,3
檇,槜,zui,0,7
鱒,鳟,zun,0,3
